"date","San Miguel","Hacienda Cochas","La Quinua","Wayllapampa","Huamanga","Allpachaca"
1981-01-01,1.58,2.13,1.8,0.96,0.78,0
1981-01-02,0,0,0.86,3.12,2.72,0.55
1981-01-03,3.29,4.38,3.07,1.14,0.89,0
1981-01-04,0,0,0,0,0.85,1.58
1981-01-05,2.38,3.22,4.08,6.9,6.37,2.74
1981-01-06,1.71,4.35,3.04,9.09,4.88,3.75
1981-01-07,0.13,0.17,0.02,0.01,0.04,0.38
1981-01-08,0.02,0,0.04,0.02,0.08,0.09
1981-01-09,0.35,0,8.77,7.87,13.52,1.55
1981-01-10,0.69,0.67,0.03,0,0,2.06
1981-01-11,1.4,2.34,2.21,3.3,2.35,1.3
1981-01-12,2.81,3.69,3.03,3.4,2.54,0.22
1981-01-13,1.46,2.03,2.17,1.95,1.36,0.68
1981-01-14,0.18,0.54,0,0,0,0
1981-01-15,0,0,0,0,0,0.38
1981-01-16,0.19,0.67,0.84,1.43,1.5,0.81
1981-01-17,0.05,0.36,1.31,1.36,2.58,4.38
1981-01-18,0,0,0,0,0,0.05
1981-01-19,0.03,0.05,0.01,0,0.01,0.04
1981-01-20,4.47,5.67,5.2,5.95,4.8,2.12
1981-01-21,1.12,1.41,1.47,1.78,2.17,2.43
1981-01-22,2.27,2.91,2.03,1.86,1.78,1.06
1981-01-23,3.97,4.76,5.06,6.2,5.18,2.48
1981-01-24,0.24,1.34,1.35,1.74,1.61,1.38
1981-01-25,0.25,0.27,0.08,0.04,0.13,0.53
1981-01-26,1.44,2.39,1.03,3.21,4.41,2.8
1981-01-27,3.24,3.66,6.5,9.27,6.3,2.72
1981-01-28,0,0,0.82,0.01,0,0.94
1981-01-29,0.16,0.18,0.03,0.03,0.41,0.34
1981-01-30,0.34,0.36,0.12,0.06,0.19,0.65
1981-01-31,7.99,7.51,24.59,31.24,23.38,6.63
1981-02-01,0,0,0.86,5.56,4.61,1.13
1981-02-02,0,0,0,0,0,0
1981-02-03,0.26,1.35,1.72,5.66,3,0.95
1981-02-04,3.11,3.83,5.92,5.52,9.73,6.39
1981-02-05,1.72,0.81,2.98,5.15,3.55,3.78
1981-02-06,1.63,1.66,3.37,5.09,4.4,5.89
1981-02-07,3.89,4.01,7.34,13.12,11.67,8.35
1981-02-08,4.85,5.23,9.33,12.63,11.37,6.58
1981-02-09,5.11,5.84,10.7,17.27,16.71,14.64
1981-02-10,0,0,2.41,4.46,3.91,3.6
1981-02-11,1.36,0.73,2.45,3.37,4.31,3.65
1981-02-12,0.38,0.74,2.22,3.79,2.91,2.3
1981-02-13,5.39,7.51,10.05,9.47,10.95,5.18
1981-02-14,0.52,0.61,0.14,0.07,0.23,0.97
1981-02-15,4.75,3.71,11.41,19.48,13.61,3.45
1981-02-16,0.95,1.67,3.54,10.16,6.7,3.35
1981-02-17,0.42,0.6,0.05,0.02,0.09,1.14
1981-02-18,4.04,4.35,13.53,23.18,17.8,8.08
1981-02-19,3.54,4.37,1.44,0.36,0.18,5.38
1981-02-20,2.28,2.91,8.04,15.63,11.13,9.73
1981-02-21,0,0.29,2.48,6.3,9.64,9.23
1981-02-22,7.69,8.6,8.5,7.74,5.5,5.75
1981-02-23,7.08,7.49,2.77,6.43,11.34,11.82
1981-02-24,0.73,2.33,2.99,5.6,4.43,3.28
1981-02-25,0,0,2.01,6.09,6.55,3.94
1981-02-26,0.27,0.35,0.04,0.01,0.07,0.6
1981-02-27,1.81,3.37,0.29,0.14,0,2.24
1981-02-28,4.78,5.77,8.05,13.15,11.34,9.2
1981-03-01,2.66,0.78,6.89,7.01,5.59,5.57
1981-03-02,0.58,2.34,2.44,5.58,5.5,4.82
1981-03-03,0.45,1.11,0,0.02,0.31,0.29
1981-03-04,0.36,1.17,0.04,0.01,0.18,0
1981-03-05,6.2,6.88,5.88,6.48,4.59,2.43
1981-03-06,0,0,0.68,0.02,0,0
