"fecha","San.Miguel","Hacienda.Cochas","La.Quinua","Wayllapampa","Huamanga","Allpachaca"
"01-1981",41.76,55.06,79.56,101.94,90.83,44.64
"02-1981",66.56,78.13,124.63,205.45,185.73,140.6
"03-1981",54.86,68.75,63.36,78.2,64.65,51.55
"04-1981",10.66,9.53,13.6,16.83,17.09,11.91
"05-1981",6.88,4.28,12.74,14.21,6.96,2.54
"06-1981",1.42,1.09,5.33,7.16,7.93,1.8
"07-1981",0.3,0.28,1.24,2.28,1.76,0.68
"08-1981",1.66,2.32,0.4,0.44,2.18,8.33
"09-1981",11.82,8.76,30.89,40.93,27.57,11.39
"10-1981",33.81,32.86,51.78,62.23,54.72,24.25
"11-1981",43.13,46.47,73.29,78.08,71.2,54.53
"12-1981",85.45,89.51,64.25,82.92,74.38,52.66
"01-1982",39.88,55.47,76.73,98.47,103.37,54.93
"02-1982",49.46,63.2,88.39,134.5,112.93,83.5
"03-1982",34.72,42.64,51.33,69.16,58.5,34.11
"04-1982",13.13,11.83,21.76,31.81,25.43,14.02
"05-1982",0.94,1.55,0.33,0.25,0.26,1.85
"06-1982",1.48,1.38,1.1,0.31,0.34,1.1
"07-1982",0.68,0.59,1.7,2.82,2.3,0.74
"08-1982",3.47,3.62,6.76,12.83,10.4,5.94
"09-1982",6.07,5.34,8.93,9.86,9.63,5.83
"10-1982",20.63,21.37,26.61,30.03,30.28,18.45
"11-1982",47.58,52.03,70.59,73.57,74.46,78.14
"12-1982",44.1,48.63,25.83,30.51,33.33,34.72
"01-1983",33.94,45.75,58.27,78.56,75.31,41.37
"02-1983",22.15,27.75,39.67,67.87,54.02,40.83
"03-1983",38.19,43.74,49.51,67.3,61.55,61.87
"04-1983",16.56,13.31,23.03,30.77,24.42,16.32
"05-1983",5.17,2.53,11.49,11.14,8.23,2.72
"06-1983",0.75,0.83,0.3,0.08,0.26,0.65
"07-1983",0.94,0.96,1.08,1.22,1.09,0.98
"08-1983",1.02,1,0.08,0.12,0.14,0.51
"09-1983",9.63,7.49,21.64,24.33,15.98,11.82
"10-1983",8.56,7.94,11.22,13.75,13.19,6.59
"11-1983",14.66,13.98,29.5,32.61,32.93,29.08
"12-1983",28.35,32.97,19.05,23.99,24.8,26.67
"01-1984",51.77,67.91,81.46,98.67,93.19,69.8
"02-1984",50.16,62.28,82.27,130.39,115.01,120.89
"03-1984",29.94,37.49,40.46,55.35,53.14,54.52
"04-1984",14.62,11.61,19.6,23.4,21.05,15.96
"05-1984",8.73,6.44999999999999,9.95,10.96,7.31,4.62
"06-1984",7.8,5.38,27.83,33.7,31.84,8.64
"07-1984",1.7,1.49,3.42,4.28,2.95,0.81
"08-1984",3.58,3.25,7.32,10.02,8,3.84
"09-1984",4.07,4.01,3.12,0.89,0.99,1.92
"10-1984",15.31,14.98,19.46,21.67,21.11,14.33
"11-1984",40.11,38.72,78.96,83.63,80.91,80.74
"12-1984",45.43,46.48,38.41,47.29,46.45,41.45
"01-1985",26.84,37.65,45.64,55.74,49.56,27.72
"02-1985",41.66,52.55,56.82,79.31,68.62,67.58
"03-1985",44,57.55,49.48,61.95,57.11,52.44
"04-1985",21.89,18.02,27.78,33.36,31.06,23.53
"05-1985",14.01,10.09,20.01,21.12,10.52,4.23
"06-1985",3.47,3.04,1.76,0.42,2.73,4.7
"07-1985",1.26,1.17,2.17,2.29,1.86,1.15
"08-1985",3.61,3.3,8.67,11.19,9.24,4.63
"09-1985",14.42,12.78,33.48,37.44,30.62,15.04
"10-1985",8.88,9.11,10.85,12.25,11.86,8.19
"11-1985",15.67,17.36,22.15,20.23,20.63,21.03
"12-1985",75.1,84.76,49.84,60.52,67.34,71.49
"01-1986",56.8,83.15,92.44,125.53,122.22,81.19
"02-1986",80.01,98.43,130.64,189.98,164.18,126.18
"03-1986",89.1,115.01,115.06,146.14,141.69,141.88
"04-1986",20.2,17.85,27.02,34.78,30.02,21.37
"05-1986",7.41,4.43,8.3,12.89,7.94,4.35
"06-1986",0.09,0.12,0,0.02,0.01,0.08
"07-1986",2.19,1.97,3.21,3.79,2.93,2.31
"08-1986",6.37,6.43,7.31,8.24,8.53,8.97
"09-1986",26.61,19.25,63.62,66.61,48.7,19.93
"10-1986",10.78,10.89,13.29,14.88,13.92,9.48
"11-1986",16.1,16.14,25.27,25.23,25.64,28.82
"12-1986",54.2,65.7,33.44,39.94,45.37,48.88
"01-1987",52.98,67.68,105.54,134.34,132.16,75.82
"02-1987",23.71,29.04,38.87,64.69,50.62,37.37
"03-1987",19.75,24.44,25.01,29.47,26.75,26.53
"04-1987",10.56,8.76,13.62,15.74,12.56,8.53
"05-1987",9.26,5.98,11.83,11.44,6.85,3.79
"06-1987",1.8,1.18,9.63,13.41,7.47,1.38
"07-1987",4.68,3.92,7.34,8.6,8.12,4.97
"08-1987",0.65,0.74,0.16,0.07,0.26,0.94
"09-1987",2.77,2.79,5.82,9.73,6.28,4.67
"10-1987",13.65,13,18.54,22.42,20.45,11.05
"11-1987",21.65,23.24,33.01,36.26,33.89,37.86
"12-1987",47.12,53.15,33.85,40.66,40.11,37.14
"01-1988",73.11,95,118.11,153.8,139.78,93.04
"02-1988",43.92,53.31,84.86,127.18,98.27,73.64
"03-1988",51.67,60.03,65.19,94.95,85.75,69.54
"04-1988",18.31,16.5,22.11,28.13,20.19,13.67
"05-1988",9.92,7.65,13.53,12.63,8.8,5.57
"06-1988",0.16,0.15,0.35,0.02,0.04,0.14
"07-1988",0.56,0.39,1.64,2.57,1.97,0.36
"08-1988",1.54,1.35,3.11,3.83,3.56,1.61
"09-1988",4.65,4.81,1.94,0.53,0.4,5.23
"10-1988",9.23,8.95,12.54,14.11,12.83,8.02
"11-1988",9.94,10.97,18.17,22,19.43,18.12
"12-1988",76.92,83.73,51.95,62.53,65.54,71.08
"01-1989",49.98,64.48,83.42,104.22,100.32,79.26
"02-1989",35.06,47.56,51.27,75.76,65.46,74
"03-1989",47.11,62.2,57.04,72.39,65.72,80.74
"04-1989",13.25,10.61,20.94,30.17,24.61,18.54
"05-1989",9.07,7.29,9.89,10.31,6.45,5.08
"06-1989",3.97,2.92,9.23,10.37,9.68,3.71
"07-1989",1.29,1.13,2.24,2.55,2.38,1.96
"08-1989",4.36,3.76,7,8.11,8.21,6.55
"09-1989",7.43,6.25,16.43,21.67,15.71,9.48
"10-1989",20.25,20.71,24.38,25.94,25.6,18.51
"11-1989",19.18,20.7,28.74,29.7,29.57,32.64
"12-1989",40.26,45.58,28.55,36.37,36.2,33.61
"01-1990",32.25,42.94,55.55,73.42,68.63,49.17
"02-1990",12.98,18.11,21.86,32.6,25.9,21.51
"03-1990",33.92,44.5,39.42,50.67,46.13,52.64
"04-1990",9.48,7.33,15.16,19.09,13.85,9.85
"05-1990",5.86,4.73,6.79,8.76,5.59,4.14
"06-1990",12.64,9.16,37.89,44.43,47.33,13.15
"07-1990",1.43,1.26,2.91,4.09,3.33,2.25
"08-1990",5.3,4.72,11.32,15.19,14.16,7.55
"09-1990",9.1,6.58,18.82,20.73,14.97,9.86
"10-1990",23.03,21.4,33.82,38.03,37.49,21.94
"11-1990",54.2,55.6,97.08,113.13,115.96,117.54
"12-1990",94.06,98.72,65.33,72.22,76.05,76.28
"01-1991",40.22,57.94,56.03,69.09,63.75,44.45
"02-1991",24.12,36.63,35.78,58.52,50.9,43.11
"03-1991",42.8,59.15,47.19,66.3,58.56,57.98
"04-1991",9.05,7.69,11.07,13.94,12.18,10.49
"05-1991",8.54,7.26,5.61,8.01,5.98,4.64
"06-1991",8.87,5.06,34.39,41.71,43.72,13.17
"07-1991",0.23,0.27,0.06,0.08,0.32,0.79
"08-1991",0.17,0.22,0.04,0.03,0.07,0.56
"09-1991",6.94,4.77,12.94,20.29,14.17,8.1
"10-1991",14.73,14.9,17.08,19.22,19.93,14.22
"11-1991",15.42,17.63,22.01,22.77,23.36,33.9
"12-1991",24.48,23.94,17.12,20.66,23.31,27.05
"01-1992",19.16,28.4,34.5,46.29,42.95,28.91
"02-1992",17.33,21.98,32.36,55.41,47.58,35.49
"03-1992",20.71,26,26.98,37.84,35.96,33.33
"04-1992",8.14,6.85,11.18,13.66,11.29,7.3
"05-1992",2.18,1.59,2.94,3.62,2.01,1.14
"06-1992",4.71,3.79,14.22,19.32,17.29,4.35
"07-1992",2.87,2.18,5.42,6.62,4.99,2.78
"08-1992",7.65,7.45,15.19,20.3,17.97,8.91
"09-1992",7.79,6.46,14.71,17.66,14.19,8.44
"10-1992",16.9,15.92,26.21,29.71,29.21,16.63
"11-1992",15.46,17.6,21.7,23.12,20.65,19.85
"12-1992",32.77,37.87,20.02,22.32,23.32,23.53
"01-1993",43.03,56.67,66.78,82.16,74.39,63.51
"02-1993",31.96,40.54,58.54,88.03,66.94,49.06
"03-1993",35.31,50.32,39.97,55.58,53.08,62.19
"04-1993",21.94,18.75,37.09,42.87,35.23,24.36
"05-1993",8.58,7.28,9.24,9.9,7.85,5.46
"06-1993",3.65,2.88,5.63,6.11,5.86,3.36
"07-1993",2.71,3,2.56,2.77,2.48,3.74
"08-1993",4.14,4.28,6.16,6.68,6.13,4.28
"09-1993",18.52,15.01,44.38,53.53,39.94,15.05
"10-1993",23.4,21.68,45.34,42.11,38.88,18.89
"11-1993",35.24,39.61,51.98,58.5,54.6,64
"12-1993",97.97,110.69,88.9,100.12,108.16,95.81
"01-1994",51.05,68.7,102.72,125.69,102.81,73.97
"02-1994",34.68,40.32,67.58,81.84,70.32,62.61
"03-1994",54.61,69.24,92.78,103.5,102.81,99.22
"04-1994",17.88,16.25,19.72,21.55,18.82,14.32
"05-1994",4.35,3.64,5.1,4.47,4.12,3.41
"06-1994",0.75,0.81,0.46,0.42,0.73,1.42
"07-1994",0.93,0.93,1.4,1.4,1.32,0.81
"08-1994",0.51,0.53,0.46,0.42,0.53,0.49
"09-1994",3.27,3.05,8.3,10.92,7.27,4.73
"10-1994",9.48,10.24,11.46,11.42,12.41,8.89
"11-1994",25.75,24.97,39.77,30.23,27.86,30.79
"12-1994",59.49,70.49,64.08,73.02,64.45,49.96
"01-1995",78.17,63.31,163.03,129.4,131.49,75.97
"02-1995",48.41,48.7,97.15,116.86,110.21,78.41
"03-1995",55.93,68.95,66.06,58.52,65.97,84.96
"04-1995",7.13,7.39,6.14,8.21,7.12,8.6
"05-1995",7.47,5.82,10.73,15.13,8.27,3.89
"06-1995",1.56,1.29,2.39,2.42,2.12,0.89
"07-1995",1.92,1.7,2.56,2.94,2.32,1.23
"08-1995",1.44,1.24,2.53,2.69,3.03,3.24
"09-1995",7.09,5.96,9.5,9.08,8.29,8.08
"10-1995",12.61,12.34,17.96,19.82,18.04,11.72
"11-1995",29.9,30.25,41.85,42.19,38.14,52.1
"12-1995",34.5,42.02,23.04,26.02,25.43,33.13
"01-1996",30.41,43.54,45.95,66.51,58.06,49.61
"02-1996",34.06,45.37,69,104.49,103.39,82.35
"03-1996",57.7,66.01,85.8,109.19,92.7,78.59
"04-1996",27.63,22.38,38.85,34.55,30.62,22.96
"05-1996",3.64,3.79,2.44,2.16,2.26,2.22
"06-1996",1.1,0.84,0.75,0.1,0.2,0.53
"07-1996",0.47,0.59,0.09,0.03,0.11,0.7
"08-1996",3.88,3.68,8.49,10.91,8.31,6.21
"09-1996",9.6,7.68,14.53,11.87,8.85,6.79
"10-1996",11.29,11.3,12.93,14.5,12.78,8.58
"11-1996",19.67,18.27,33.82,32.58,27.3,23.89
"12-1996",50.82,54.28,48.7,52.43,54.21,43.51
"01-1997",76.71,81.34,122.77,141.43,111.21,85.89
"02-1997",38.08,47.28,66.69,81.12,63.48,52.92
"03-1997",60.14,67.62,70.14,56.78,55.49,64.08
"04-1997",15.91,12.74,19.15,21.63,17.56,13.24
"05-1997",3.46,3.71,2,1.51,2.02,3.87
"06-1997",0.55,0.65,0.18,0.07,0.2,0.45
"07-1997",1.24,1.12,2.1,2.23,2.16,1.8
"08-1997",8.79,8.81,12.12,14.28,12.65,15.82
"09-1997",14.65,12.61,29.15,33.97,27.74,25.06
"10-1997",7.33,8.17,3.17,1.21,2.76,7.03
"11-1997",32.58,33.29,56.49,61.81,57.57,60.05
"12-1997",59.81,68.15,60.42,77.75,71.23,81
"01-1998",50.76,63.81,95.86,125.79,117.01,79.04
"02-1998",45.72,52.89,84.21,90.35,76.14,65.82
"03-1998",50.33,62.07,63.05,76.73,78.39,100.88
"04-1998",9.69,8.98,12.66,14.13,12.98,10.62
"05-1998",0.63,0.59,0.32,0.19,0.18,0.27
"06-1998",2.58,2.62,1.62,1.35,1.71,2.96
"07-1998",0.09,0.14,0,0,0.01,0.09
"08-1998",1.11,1.14,1.06,1.23,1.63,2.14
"09-1998",2.48,2.9,2.32,2.43,2.01,3.28
"10-1998",16.46,14.56,26.85,26.23,23.85,13.88
"11-1998",15.26,16.56,12.36,8.12,12.07,28.44
"12-1998",60.33,64.56,50,54.98,47.3,47.66
"01-1999",53.28,60.99,86.88,100.46,86.39,57.72
"02-1999",60.01,76,81.58,110.31,82.78,79.03
"03-1999",38.38,45.95,67.23,66.03,67.23,71.89
"04-1999",16.36,15.46,17.85,20.84,18.54,21.67
